,Date,Open,High,Low,Close,Volume,pct_chg,pct_chg_3,pct_chg_6
0,2013-12-01,-0.6000040964460128,-0.4025318079361079,-0.3654674167696272,-0.21729283022977733,-0.7573052838960239,0.0,0.0,0.0
1,2014-01-01,-0.17919775550404937,-0.41540008421957475,-0.48890474132633116,-0.7188437809176506,-0.1685648276701071,2.3081799346877014,0.0,0.0
2,2014-02-01,-0.7092171622205403,-0.5322000402108351,-0.7087610638812665,-0.32986545535600276,1.208065187762322,-0.5411166318571914,0.0,0.0
3,2014-03-01,-0.3180458215365233,-0.1883100723906122,-0.08022914975274044,-0.11835196487531957,0.4969029689477305,-0.641211400121938,-0.45533423836319065,0.0
4,2014-04-01,-0.06170340803813539,-0.024903523541734147,0.11064560917849549,0.16324275579085978,-0.21536936356181868,-2.3792990759623756,-1.227090725585008,0.0
5,2014-05-01,0.2102319092546181,0.05381743139122662,0.35322899349054004,0.21047759702497817,-1.5426326514987845,0.28935336827218117,-1.6380710486880874,0.0
6,2014-06-01,0.2688597901159759,0.24584962841036315,0.4834580570837115,0.43878133159336774,-1.4861746895487056,1.0846937526624076,-4.7074275197341375,-3.019308833749261
7,2014-07-01,0.5021253657913708,0.27387931964002593,0.43813356992361696,0.12448525900559608,-0.8213679167969166,-0.7162931737465977,-0.23742246078544693,-1.1731742866950627
8,2014-08-01,0.130397584976824,0.2029108745118088,0.3270557150730147,0.25226316624207756,-1.6141620823667,1.026450105475841,0.19852739582607715,-1.7647456323361475
9,2014-09-01,0.3224985779917845,0.12836443459468436,0.0870258654572973,-0.20434430289470165,-1.041186470503929,-1.8100441532498968,-1.4657087441543066,0.7265814142585005
10,2014-10-01,-0.17334621923938406,-0.3874988222738977,-0.5673112201390225,-0.2582410178752481,1.4133485244865138,0.26375442925031956,-3.0744706637405095,-2.581944733928018
11,2014-11-01,-0.2145108018998196,-0.22051427863611023,-0.16960195968455194,-0.4066082732969531,1.3593622053673806,0.5745301681446233,-2.6118416309211088,-2.9318363523919335
12,2014-12-01,-0.5014148709007213,-0.5807240597468911,-0.7505256764611667,-0.7257490329828827,3.233639452985958,0.7848850617283323,2.5515990546448473,-2.6540107354782743
13,2015-01-01,-0.6766758341500774,-0.8681761166918336,-0.7090311898656714,-0.8274863180803043,2.113837306706548,0.14018246042888083,2.2043179076998873,-7.647263496821785
14,2015-02-01,-0.8400861551696773,-0.7477086033846766,-0.6879646793609093,-0.7057648416984681,0.38630414892965403,-0.1470978718587388,0.7357365505030828,-3.7977324324122685
15,2015-03-01,-0.6822890792218456,-0.8616160840546147,-0.6528540295062343,-0.883199933718147,0.6575054771691913,0.2514082333609451,0.2169495150246763,3.3221167471121458
16,2015-04-01,-0.8669055491075816,-0.5848985747627274,-0.6605146335952198,-0.48351696600277594,1.2931287191121386,-0.4525396260309511,-0.41567980589154285,0.8723476618124038
17,2015-05-01,-0.45338962264698174,-0.5389777830158615,-0.2972774885813951,-0.5028954284044339,0.13586816755781286,0.04007814361067674,-0.2874461878914456,0.23680569587712408
18,2015-06-01,-0.4440341160106012,-0.6165065424244637,-0.5679497545530506,-0.8190084016495017,0.19976244747461952,0.6285858955767767,-0.0726806350612007,0.1285008514352628
