Date,Open,High,Low,Close,Volume
2013-12-01,605.9400024414062,606.1799926757812,582.010009765625,603.0800170898438,312800.0
2014-01-01,603.8800048828125,603.8800048828125,564.0499877929688,564.7000122070312,242600.0
2014-02-01,566.6099853515625,592.8400268554688,557.260009765625,579.5599975585938,322200.0
2014-03-01,578.4500122070312,599.9600219726562,574.530029296875,599.9000244140625,566000.0
2014-04-01,599.4000244140625,603.9500122070312,583.510009765625,596.260009765625,429500.0
2014-05-01,596.3099975585938,605.0,584.1199951171875,590.52001953125,256900.0
2014-06-01,592.5,608.6300048828125,589.1599731445312,608.4400024414062,208700.0
2014-07-01,608.4400024414062,625.0999755859375,599.3499755859375,604.9099731445312,203200.0
2014-08-01,603.75,640.8400268554688,601.8200073242188,634.239990234375,267100.0
2014-09-01,633.3599853515625,645.0,622.1500244140625,630.0700073242188,263500.0
2014-10-01,627.5,649.6500244140625,610.0,624.9199829101562,230200.0
2014-11-01,619.3200073242188,647.77001953125,612.0,633.77001953125,161200.0
2014-12-01,630.7899780273438,682.8699951171875,620.0999755859375,630.1099853515625,185500.0
2015-01-01,627.0,658.75,618.0,644.5800170898438,165300.0
2015-02-01,644.97998046875,692.989990234375,631.3800048828125,667.1500244140625,124200.0
2015-03-01,671.2899780273438,696.47998046875,646.9500122070312,684.52001953125,165900.0
2015-04-01,699.4299926757812,704.5,664.530029296875,675.969970703125,161400.0
2015-05-01,677.8300170898438,678.5499877929688,640.0499877929688,649.239990234375,153800.0
2015-06-01,652.5,682.9500122070312,635.0,654.9400024414062,236100.0
2015-07-01,668.3599853515625,714.969970703125,645.0,706.0,290800.0
2015-08-01,703.719970703125,749.6599731445312,688.8400268554688,719.3099975585938,468300.0
2015-09-01,713.0,778.1900024414062,711.9000244140625,747.2999877929688,487200.0
2015-10-01,747.8300170898438,806.3099975585938,733.469970703125,790.0,468200.0
2015-11-01,788.97998046875,808.0,737.3599853515625,808.0,358100.0
2015-12-01,805.0,807.3900146484375,721.0,726.8099975585938,338000.0
2016-01-01,728.0,748.8400268554688,694.0,713.0900268554688,325300.0
2016-02-01,713.0900268554688,784.9600219726562,689.3099975585938,766.8599853515625,370600.0
2016-03-01,771.9000244140625,809.989990234375,731.0499877929688,802.5999755859375,481800.0
2016-04-01,797.030029296875,830.3800048828125,786.3300170898438,830.0,281800.0
2016-05-01,832.3200073242188,834.0,790.0,805.3800048828125,355700.0
2016-06-01,809.47998046875,845.3699951171875,798.0800170898438,842.0,508600.0
2016-07-01,839.3099975585938,850.9500122070312,804.4400024414062,821.3200073242188,270600.0
2016-08-01,825.8699951171875,852.5800170898438,809.3499755859375,824.02001953125,243100.0
2016-09-01,827.969970703125,837.5499877929688,805.0999755859375,830.0,308700.0
2016-10-01,827.0999755859375,854.47998046875,817.0499877929688,829.719970703125,249000.0
2016-11-01,829.72998046875,863.7100219726562,815.0399780273438,836.969970703125,296100.0
2016-12-01,841.0,874.6900024414062,832.0999755859375,836.0499877929688,395000.0
2017-01-01,837.3599853515625,914.0599975585938,834.2000122070312,909.760009765625,391900.0
2017-02-01,912.5999755859376,948.0,883.5,936.260009765625,394000.0
2017-03-01,937.989990234375,948.9400024414062,873.5999755859375,879.8800048828125,380900.0
2017-04-01,880.0,889.8800048828125,847.0,858.9400024414062,256100.0
2017-05-01,863.760009765625,900.0499877929688,845.4099731445312,860.0800170898438,412200.0
2017-06-01,860.0800170898438,885.3599853515625,854.530029296875,868.6300048828125,393800.0
2017-07-01,870.0,888.0,845.0999755859375,864.5999755859375,402000.0
2017-08-01,863.9500122070312,873.1900024414062,840.3800048828125,871.0700073242188,354200.0
2017-09-01,870.22998046875,874.8699951171875,838.6500244140625,857.0,605000.0
2017-10-01,857.0499877929688,896.989990234375,843.3499755859375,889.1500244140625,398800.0
2017-11-01,891.0,903.260009765625,864.8900146484375,890.989990234375,381100.0
2017-12-01,891.8499755859375,892.5700073242188,841.3300170898438,851.280029296875,384300.0
2018-01-01,852.469970703125,858.0900268554688,832.010009765625,839.9000244140625,353600.0
2018-02-01,840.0,845.97998046875,786.22998046875,806.8499755859375,464200.0
2018-03-01,805.6199951171875,839.0,798.0,822.52001953125,618300.0
2018-04-01,819.4500122070312,869.0,804.4000244140625,865.2899780273438,990600.0
2018-05-01,865.2999877929688,914.3499755859376,858.0,902.0800170898438,1176700.0
2018-06-01,906.989990234375,933.7000122070312,892.0599975585938,906.6099853515624,682500.0
2018-07-01,904.1199951171876,918.719970703125,895.010009765625,913.030029296875,241500.0
2018-08-01,913.3400268554688,946.52001953125,906.7100219726562,927.9500122070312,339900.0
2018-09-01,921.2000122070312,980.8900146484376,917.219970703125,935.8699951171876,290400.0
2018-10-01,939.1500244140624,942.0,856.5,886.6699829101562,256100.0
2018-11-01,882.5,929.6900024414062,874.0,928.75,244700.0
2018-12-01,933.0,942.3499755859376,832.8800048828125,857.6900024414062,324700.0
2019-01-01,853.0,900.469970703125,850.75,893.5800170898438,279900.0
2019-02-01,892.9000244140625,942.7999877929688,885.0700073242188,939.3900146484376,216300.0
2019-03-01,942.7999877929688,961.489990234375,903.5,925.47998046875,244500.0
2019-04-01,924.1500244140624,954.22998046875,906.219970703125,939.0399780273438,193500.0
2019-05-01,940.4000244140624,993.7000122070312,918.2999877929688,979.5999755859376,305900.0
2019-06-01,978.97998046875,1052.1700439453123,972.5,1021.4600219726562,405500.0
2019-07-01,1031.260009765625,1080.81005859375,1025.25,1076.0,344800.0
2019-08-01,1075.0,1104.1400146484377,1038.780029296875,1060.699951171875,399000.0
2019-09-01,1058.699951171875,1095.0,1058.699951171875,1080.0,451100.0
2019-10-01,1080.8499755859377,1098.0,1054.0,1071.0,433800.0
2019-11-01,1073.050048828125,1112.06005859375,1068.699951171875,1106.9200439453123,195000.0
2019-12-01,1109.800048828125,1131.5,1082.8800048828123,1115.510009765625,189500.0
2020-01-01,1118.1500244140623,1124.3399658203123,1086.47998046875,1117.219970703125,201500.0
2020-02-01,1120.010009765625,1168.2099609375,988.3599853515624,990.0999755859376,186400.0
2020-03-01,992.3099975585938,1064.4300537109377,629.2100219726562,910.0,651400.0
2020-04-01,900.0,1012.8300170898438,858.0,973.0,462700.0
2020-05-01,970.1799926757812,994.4099731445312,876.0,915.5599975585938,272500.0
