AAPL
ABBV
ABT
ACN
ADBE
AIG
ALL
AMGN
AMT
AMZN
AXP
BA
BAC
BIIB
BK
BKNG
BLK
BMY
BRK-B
C
CAT
CHTR
CL
CMCSA
COF
COP
COST
CRM
CSCO
CVS
CVX
DD
DHR
DIS
DUK
EMR
EXC
F
FB
FDX
GD
GE
GILD
GM
GOOG
GOOGL
GS
HD
HON
IBM
INTC
JNJ
JPM
KMI
KO
LLY
LMT
LOW
MA
MCD
MDLZ
MDT
MET
MMM
MO
MRK
MS
MSFT
NEE
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PM
QCOM
RTX
SBUX
SLB
SO
SPG
T
TGT
TMO
TSLA
TXN
UNH
UNP
UPS
USB
V
VZ
WBA
WFC
WMT
XOM
