,trade_date,close,open,high,low,pre_close,pct_chg,vol,amount
0,20210630,19.02,20.43,20.5,18.6,20.6,-0.0767,587461086.0,11431332126.0
1,20210531,20.6,18.73,21.06,17.82,18.72,0.1004,712553761.0,13938138038.0
2,20210430,18.72,19.68,20.54,18.04,19.65,-0.0473,460668096.0,8755133039.0
3,20210331,19.65,21.78,22.32,19.13,21.78,-0.0978,743590514.0,15250077075.0
4,20210226,21.78,25.5,25.87,21.1,25.84,-0.1571,878354418.0,20228311611.0
5,20210129,25.84,23.57,28.18,22.7,23.34,0.1071,1735225592.0,43959508367.0
6,20201231,23.34,22.0,25.25,20.7,22.0,0.0609,1085107356.0,24670564449.0
7,20201130,22.0,20.68,23.11,20.4,20.69,0.0633,653282002.0,14148732414.0
8,20201030,20.69,21.9,22.9,20.53,21.61,-0.0426,445996987.0,9792945656.0
9,20200930,21.61,21.57,22.93,20.22,21.55,0.0028,752071936.0,16145690169.0
10,20200831,21.55,21.78,24.29,19.69,21.53,0.0009,1245886740.0,27162791140.0
11,20200731,21.53,21.42,31.39,20.24,21.95,-0.0191,1504825674.0,37615519201.0
12,20200630,21.95,16.99,22.22,16.6,16.6,0.3223,613576647.0,11684774348.0
13,20200529,16.6,18.15,18.49,16.6,18.48,-0.1017,186647484.0,3277514604.0
14,20200430,18.48,17.08,18.68,17.01,17.12,0.0794,271275697.0,4862944271.0
15,20200331,17.12,17.9,19.55,16.17,17.65,-0.03,467026075.0,8326622479.0
16,20200228,17.65,16.88,19.74,15.79,18.75,-0.0587,549447785.0,9959764792.0
17,20200123,18.75,18.53,19.75,17.92,18.29,0.0252,398689719.0,7525399840.0
18,20191231,18.29,16.81,18.88,16.42,16.48,0.1098,391231728.0,6885322499.0
19,20191129,16.48,16.3,16.7,16.06,16.44,0.0024,227516171.0,3720103975.0
20,20191031,16.44,16.46,17.55,16.12,16.45,-0.0006,195985433.0,3294136588.0
21,20190930,16.45,16.03,18.07,15.96,15.98,0.0294,379690682.0,6529794221.0
22,20190830,15.98,16.85,17.1,15.2,16.91,-0.055,297851219.0,4829844296.0
23,20190731,16.91,17.53,17.72,16.33,17.09,-0.0105,239288757.0,4054933262.0
24,20190628,17.09,15.54,17.62,14.91,15.46,0.1054,307890680.0,5040310782.0
25,20190531,15.46,16.94,16.94,14.74,17.53,-0.1181,310485387.0,4912386731.0
26,20190430,17.53,17.56,18.88,17.0,17.52,0.0006,704883322.0,12758026521.0
27,20190329,17.52,17.68,19.83,16.21,17.55,-0.0017,1005200699.0,17933486508.0
28,20190228,17.55,14.58,19.99,14.5,14.41,0.2179,572909569.0,10028320516.0
29,20190131,14.41,13.38,14.77,12.99,13.4,0.0754,260888991.0,3681935176.0
30,20181228,13.4,14.3,14.46,12.4,13.74,-0.0247,229676941.0,3128643137.0
31,20181130,13.74,13.31,15.06,13.31,13.23,0.0385,356333068.0,5014955712.0
32,20181031,13.23,12.89,13.64,11.13,13.13,0.0076,312177683.0,3950169278.0
33,20180928,13.13,13.0,13.16,12.27,13.1,0.0023,114015095.0,1453277567.0
34,20180831,13.1,13.46,13.7,12.52,13.48,-0.0282,152068690.0,1991781232.0
35,20180731,13.48,13.74,14.15,12.65,13.68,-0.0146,185279228.0,2462245062.0
36,20180629,13.68,15.74,16.06,12.91,15.81,-0.1347,188445756.0,2703011923.0
37,20180531,15.81,16.57,17.41,15.6,16.43,-0.0377,187422513.0,3146510893.0
38,20180427,16.43,17.36,17.87,16.23,17.36,-0.0536,178434329.0,3035142739.0
39,20180330,17.36,16.99,17.86,16.4,17.1,0.0152,258706245.0,4437562718.0
40,20180228,17.1,19.21,19.48,16.28,19.19,-0.1089,332973547.0,5964354035.0
41,20180131,19.19,17.18,20.69,17.05,17.16,0.1183,660223662.0,12471797272.0
42,20171229,17.16,19.05,19.24,16.73,19.14,-0.1034,379540509.0,6833754937.0
43,20171130,19.14,18.7,20.44,18.07,18.67,0.0252,683470531.0,13157205944.0
44,20171031,18.67,21.81,22.35,18.45,21.39,-0.1272,386808447.0,7788295348.0
45,20170929,21.39,19.55,21.68,19.3,19.54,0.0947,603665004.0,12236087385.0
46,20170831,19.54,17.9,19.95,17.46,17.91,0.091,587391621.0,10843863925.0
47,20170731,17.91,17.22,18.28,16.78,17.22,0.0401,476189410.0,8360110085.0
48,20170630,17.22,16.94,17.38,16.58,17.0,0.0129,282246555.0,4798435367.0
49,20170531,17.0,15.89,17.03,15.57,15.94,0.0665,240466924.0,3894104777.0
50,20170428,15.94,16.27,16.67,15.66,16.27,-0.0203,188649784.0,3061706778.0
51,20170331,16.27,16.84,17.1,16.23,16.83,-0.0333,252124854.0,4203231536.0
52,20170228,16.83,16.76,17.44,16.38,16.76,0.0042,232389688.0,3932830674.0
53,20170126,16.76,16.31,16.88,16.07,16.33,0.0263,207960721.0,3439682216.0
54,20161230,16.33,18.91,19.25,16.15,19.08,-0.1441,423552649.0,7355616864.0
55,20161130,19.08,17.9,20.09,17.8,17.95,0.063,707539270.0,13374445004.0
56,20161031,17.95,17.3,18.76,16.96,17.19,0.0442,307657368.0,5462072389.0
57,20160930,17.19,17.89,18.38,16.74,17.96,-0.0429,289126413.0,5053112211.0
58,20160831,17.96,16.71,19.17,16.24,16.8,0.069,687532856.0,12413027347.0
59,20160729,16.8,16.58,18.17,16.37,16.5,0.0182,463060642.0,8017926698.0
60,20160630,16.5,16.61,16.74,15.21,16.57,-0.0042,369691637.0,5965572592.0
61,20160531,16.57,16.73,17.24,15.23,16.73,-0.0096,364872162.0,5841428117.0
62,20160429,16.73,17.76,18.58,16.63,17.89,-0.0648,528449520.0,9367679655.0
63,20160331,17.89,14.0,19.17,13.84,13.97,0.2806,1144528551.0,19638183973.0
64,20160229,13.97,14.9,16.0,13.45,14.98,-0.0674,472314193.0,7035441601.0
65,20160129,14.98,21.64,21.87,14.08,21.7,-0.3097,602052816.0,10217686526.0
66,20151231,21.7,20.02,24.9,19.83,20.25,0.0716,943226279.0,21127372167.0
67,20151130,20.25,18.65,24.95,18.32,19.1,0.0602,1455276212.0,32743715200.0
68,20151030,19.1,17.01,20.97,16.75,16.03,0.1915,654339924.0,12201414150.0
69,20150930,16.03,15.56,17.93,15.13,15.96,0.0044,785834834.0,13000317091.0
70,20150831,15.96,21.03,22.97,13.85,21.38,-0.2535,1362043421.0,25734815490.0
71,20150731,21.38,26.12,27.8,19.1,26.46,-0.192,2580811900.0,62207780956.0
72,20150630,26.46,30.3,34.59,23.27,30.32,-0.1273,2624430873.0,80623710910.0
73,20150529,30.32,36.93,37.09,29.91,36.99,-0.1803,1744977183.0,58974812817.0
74,20150430,36.99,32.05,40.0,31.43,31.83,0.1621,2895278570.0,104561214705.0
75,20150331,31.83,28.41,34.38,24.55,27.81,0.1446,2312672242.0,66747910747.0
76,20150227,27.81,22.85,28.63,22.8,23.46,0.1854,1683928013.0,45163646325.0
77,20150130,23.46,28.48,30.7,22.1,28.27,-0.1701,1861004430.0,48862158540.0
78,20141231,28.27,18.3,32.98,17.87,18.14,0.5584,4419820368.0,117999737809.0
79,20141128,18.14,12.39,18.92,12.15,12.29,0.476,2277796052.0,34399142403.0
80,20141031,12.29,11.66,12.48,11.07,11.63,0.0567,857231191.0,10068253404.0
81,20140930,11.63,10.74,11.83,10.69,10.73,0.0839,747925633.0,8394061855.0
82,20140829,10.73,11.02,11.36,10.59,11.06,-0.0298,632594946.0,6993104780.0
83,20140731,11.06,10.1,11.3,9.9,10.11,0.094,595714371.0,6234787498.0
84,20140630,10.11,10.37,10.46,9.88,10.37,-0.0251,311530731.0,3147689416.0
85,20140530,10.37,10.31,11.09,10.09,10.37,0.0,419898285.0,4427498172.0
86,20140430,10.37,10.14,11.45,10.1,10.13,0.0237,588822048.0,6321281536.0
87,20140331,10.13,10.62,10.89,9.71,10.78,-0.0603,656239761.0,6719189936.0
88,20140228,10.78,11.6,12.54,9.99,11.78,-0.0849,757818964.0,8616995286.0
89,20140130,11.78,12.55,12.74,11.08,12.68,-0.071,723737732.0,8556741650.0
90,20131231,12.68,11.75,13.42,11.56,10.94,0.159,1478469368.0,18232771726.0
